marca,values
c32c4fd0-dd8d-4ea9-aa02-7e4b26ecb4f8,3
fcc1f3f0-5b41-4933-8f96-b00d741980f9,3
406ec09b-8c5c-4e3e-8412-f0033e0364d8,3
72080cba-8970-4386-9a07-e896ed44d999,3
ab95a726-f520-4428-bf42-44f8c5722fda,3
199da221-79cf-44b0-932d-d90ffa244ae5,3
01009d0a-8f37-4d4f-be76-98a291b37def,3
841738cf-3a52-4c8b-b73f-ca544bf46487,3
0d0455ab-1eac-4ad0-bb21-313110b5fb9e,3
a0a2efad-234c-4ed3-962c-1f66a41e5da1,2
8d0a58df-f457-4299-a14f-de0fbb974386,2
592412c5-4355-40b7-837b-b8b229ed11e8,2
9576c5a9-7aef-4cfd-879c-390cab4fedfc,2
f433b88b-611c-4641-bb56-60325f504dad,2
d2157f29-32b4-4578-be3f-bfaa77b9d18f,2
974bd864-5f7e-4b18-a28d-03e8f46c8507,2
e8fa374f-2d28-4935-baac-4aef08a511e7,2
c4d14ff6-043b-4314-b288-04ad5efcb00b,2
280c43d3-fae5-4111-9d32-c55f16b0f17a,2
ec11ed99-81c3-4684-accc-93e6d85fba97,2
202035b6-3728-4b23-ae73-ce618311e91e,2
381f7abe-b1e5-4aa9-8464-353c6d53dba6,2
1fabf9b8-d897-4621-825e-b23685cae77c,2
28a2e0d9-50f6-4d0b-97a6-1d59bd2717fa,2
814a9862-1628-4efd-aee8-77f7ad5cb017,2
2399c5f1-36a1-4452-9a07-ff8ce72d4a6f,1
762c7ccd-88e8-4c80-a07c-5627b81c1c80,1
4b0d3d62-1e97-49ac-805d-e32675180664,1
1df1c3ec-204b-404e-bfc0-f1da97b5e9fa,1
113d26cd-8cec-476a-9949-2d0488b6fc9c,1
a653959a-b880-427e-86a2-eb613e07a756,1
f0013021-4017-40d4-8107-ca1946bd5d0a,1
bb343cd9-9b67-4952-b521-86feda507e79,1
be0058d8-f6c3-4e8d-8cc2-584c8f983e70,1
21fb8353-69bd-4a47-bd49-57aff36a1366,1
5fc47a33-cd96-4549-817f-4db11b9bb274,1
3bd97752-3b84-4a47-b649-25069c014eff,1
51feeb05-f169-4dca-8fe3-4f0968ad088c,1
ced11455-b5e0-4450-8581-57a1108e2c3b,1
95df4383-b234-40e0-87b1-d52032a815fb,1
0b0c153b-86f6-406b-8874-91b696d52796,1
